,Power,DateTime
445,4242.0,2018-08-27 12:20:00
446,4541.0,2018-08-27 12:30:00
447,7030.0,2018-08-27 12:40:00
448,0.0,2018-08-27 12:50:00
449,0.0,2018-08-27 13:00:00
450,250.0,2018-08-27 18:10:00
451,207.0,2018-08-27 18:20:00
452,59.0,2018-08-27 18:30:00
453,2.0,2018-08-27 18:40:00
454,-29.0,2018-08-27 18:50:00
455,-20.0,2018-08-27 19:00:00
456,-20.0,2018-08-27 19:10:00
457,-16.0,2018-08-27 19:20:00
458,-16.0,2018-08-27 19:30:00
459,-16.0,2018-08-27 19:40:00
460,-16.0,2018-08-27 19:50:00
461,-16.0,2018-08-27 20:00:00
462,-15.0,2018-08-27 20:10:00
463,-16.0,2018-08-27 20:20:00
464,-16.0,2018-08-27 20:30:00
465,-16.0,2018-08-27 20:40:00
466,-16.0,2018-08-27 20:50:00
467,-16.0,2018-08-27 21:00:00
468,-16.0,2018-08-27 21:10:00
469,-16.0,2018-08-27 21:20:00
470,-15.0,2018-08-27 21:30:00
471,-16.0,2018-08-27 21:40:00
472,-15.0,2018-08-27 21:50:00
473,-15.0,2018-08-27 22:00:00
474,-15.0,2018-08-27 22:10:00
475,-15.0,2018-08-27 22:20:00
476,-15.0,2018-08-27 22:30:00
477,-15.0,2018-08-27 22:40:00
478,-15.0,2018-08-27 22:50:00
479,-15.0,2018-08-27 23:00:00
480,-15.0,2018-08-27 23:10:00
481,31.0,2018-08-29 06:30:00
482,21.0,2018-08-29 06:50:00
483,276.0,2018-08-29 07:10:00
484,224.0,2018-08-29 07:20:00
485,543.0,2018-08-29 07:30:00
486,785.0,2018-08-29 07:40:00
487,706.0,2018-08-29 07:50:00
488,627.0,2018-08-29 08:00:00
489,310.0,2018-08-29 08:10:00
490,271.0,2018-08-29 08:20:00
491,322.0,2018-08-29 08:30:00
492,538.0,2018-08-29 08:40:00
493,483.0,2018-08-29 08:50:00
494,541.0,2018-08-29 09:00:00
495,602.0,2018-08-29 09:10:00
496,346.0,2018-08-29 09:20:00
497,363.0,2018-08-29 09:30:00
498,313.0,2018-08-29 09:40:00
499,569.0,2018-08-29 09:50:00
500,367.0,2018-08-29 10:00:00
501,286.0,2018-08-29 10:10:00
502,347.0,2018-08-29 10:20:00
503,329.0,2018-08-29 10:30:00
504,709.0,2018-08-29 10:40:00
505,652.0,2018-08-29 10:50:00
506,1255.0,2018-08-29 11:00:00
507,1771.0,2018-08-29 11:10:00
508,2020.0,2018-08-29 11:20:00
509,1552.0,2018-08-29 11:30:00
510,1381.0,2018-08-29 11:40:00
511,1091.0,2018-08-29 11:50:00
512,810.0,2018-08-29 12:00:00
513,1071.0,2018-08-29 12:10:00
514,1238.0,2018-08-29 12:20:00
515,1377.0,2018-08-29 12:30:00
516,1918.0,2018-08-29 12:40:00
517,1554.0,2018-08-29 12:50:00
518,1401.0,2018-08-29 13:00:00
519,983.0,2018-08-29 13:10:00
520,1303.0,2018-08-29 13:20:00
521,407.0,2018-08-29 13:30:00
522,2242.0,2018-08-29 13:40:00
523,2760.0,2018-08-29 13:50:00
524,1712.0,2018-08-29 14:00:00
525,635.0,2018-08-29 14:10:00
526,908.0,2018-08-29 14:20:00
527,494.0,2018-08-29 14:30:00
528,1085.0,2018-08-29 14:50:00
529,1842.0,2018-08-29 15:00:00
530,859.0,2018-08-29 15:10:00
531,405.0,2018-08-29 15:20:00
532,1341.0,2018-08-29 15:30:00
533,2148.0,2018-08-29 15:40:00
534,2549.0,2018-08-29 15:50:00
535,2415.0,2018-08-29 16:00:00
536,2254.0,2018-08-29 16:10:00
537,666.0,2018-08-29 16:20:00
538,328.0,2018-08-29 16:30:00
539,14.0,2018-08-29 16:40:00
540,220.0,2018-08-29 16:50:00
541,645.0,2018-08-29 17:00:00
542,694.0,2018-08-29 17:10:00
543,1118.0,2018-08-29 17:20:00
544,836.0,2018-08-29 17:30:00
545,631.0,2018-08-29 17:40:00
546,358.0,2018-08-29 17:50:00
547,227.0,2018-08-29 18:00:00
548,199.0,2018-08-29 18:10:00
549,145.0,2018-08-29 18:20:00
550,80.0,2018-08-29 18:30:00
551,-31.0,2018-08-29 18:40:00
552,-27.0,2018-08-29 18:50:00
553,-25.0,2018-08-29 19:00:00
554,-15.0,2018-08-29 19:10:00
555,-15.0,2018-08-29 19:20:00
556,-15.0,2018-08-29 19:30:00
557,-15.0,2018-08-29 19:40:00
558,-15.0,2018-08-29 19:50:00
559,-15.0,2018-08-29 20:00:00
560,-15.0,2018-08-29 20:10:00
561,-15.0,2018-08-29 20:20:00
562,-15.0,2018-08-29 20:30:00
563,-15.0,2018-08-29 20:40:00
564,-15.0,2018-08-29 20:50:00
